close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
419.74,423.615,419.45,421.85,UNH,1939263,HISTORICAL_PRICES,UNH,,2021-08-25,1629940589000,0.2009728183118741,0.2009728183118741,421.85,419.74,423.615,419.45,1939263,421.85,419.74,423.615,419.45,1939263,"Aug 25, 21",-3.670000000000016,-0.0087
30.03,30.57,29.75,30.46,BAC,51483911,HISTORICAL_PRICES,BAC,,2021-01-04,1622765779000,0.0,0.0,30.46,30.03,30.57,29.75,51483911,30.1824,29.7563,30.2914,29.4789,51483911,"Jan 4, 21",0.0,0.0
30.26,30.54,29.91,30.17,BAC,48507015,HISTORICAL_PRICES,BAC,,2021-01-05,1622765805000,0.0076590076590076,0.0076590076590076,30.17,30.26,30.54,29.91,48507015,29.895,29.9842,30.2617,29.6374,48507015,"Jan 5, 21",0.2300000000000004,0.0077
32.15,32.62,31.355,31.9,BAC,107002801,HISTORICAL_PRICES,BAC,,2021-01-06,1622765786000,0.0705960705960705,0.0705960705960705,31.9,32.15,32.62,31.355,107002801,31.6093,31.857,32.3227,31.0692,107002801,"Jan 6, 21",1.889999999999997,0.0625
32.86,33.62,32.84,33.31,BAC,74358467,HISTORICAL_PRICES,BAC,,2021-01-07,1622765805000,0.0942390942390941,0.0942390942390941,33.31,32.86,33.62,32.84,74358467,33.0064,32.5605,33.3136,32.5407,74358467,"Jan 7, 21",0.7100000000000009,0.0221
32.53,33.0,32.1131,32.92,BAC,44641359,HISTORICAL_PRICES,BAC,,2021-01-08,1622765777000,0.0832500832500832,0.0832500832500832,32.92,32.53,33.0,32.1131,44641359,32.62,32.2335,32.6993,31.8204,44641359,"Jan 8, 21",-0.3299999999999983,-0.01
33.07,33.13,31.9,32.09,BAC,51899630,HISTORICAL_PRICES,BAC,,2021-01-11,1622765786000,0.1012321012321012,0.1012321012321012,32.09,33.07,33.13,31.9,51899630,31.7975,32.7686,32.8281,31.6093,51899630,"Jan 11, 21",0.5399999999999991,0.0166
33.66,33.97,33.2,33.42,BAC,68166189,HISTORICAL_PRICES,BAC,,2021-01-12,1622765838000,0.1208791208791207,0.1208791208791207,33.42,33.66,33.97,33.2,68166189,33.1154,33.3532,33.6604,32.8974,68166189,"Jan 12, 21",0.5899999999999963,0.0178
33.46,33.68,33.09,33.43,BAC,43172781,HISTORICAL_PRICES,BAC,,2021-01-13,1622765812000,0.1142191142191142,0.1142191142191142,33.43,33.46,33.68,33.09,43172781,33.1253,33.1551,33.3731,32.7884,43172781,"Jan 13, 21",-0.1999999999999957,-0.0059
33.99,34.37,33.42,33.48,BAC,48483461,HISTORICAL_PRICES,BAC,,2021-01-14,1622765805000,0.1318681318681319,0.1318681318681319,33.48,33.99,34.37,33.42,48483461,33.1749,33.6802,34.0568,33.1154,48483461,"Jan 14, 21",0.5300000000000011,0.0158
33.01,33.63,32.7,33.29,BAC,57684295,HISTORICAL_PRICES,BAC,,2021-01-15,1622765764000,0.0992340992340991,0.0992340992340991,33.29,33.01,33.63,32.7,57684295,32.9866,32.7092,33.3235,32.402,57684295,"Jan 15, 21",-0.980000000000004,-0.0288
32.77,33.6,32.2,32.5,BAC,78130237,HISTORICAL_PRICES,BAC,,2021-01-19,1622765801000,0.0912420912420913,0.0912420912420913,32.5,32.77,33.6,32.2,78130237,32.2038,32.4714,33.2938,31.9065,78130237,"Jan 19, 21",-0.2399999999999948,-0.0073
32.34,32.79,32.155,32.76,BAC,53920025,HISTORICAL_PRICES,BAC,,2021-01-20,1622765777000,0.076923076923077,0.076923076923077,32.76,32.34,32.79,32.155,53920025,32.4614,32.0453,32.4912,31.862,53920025,"Jan 20, 21",-0.4299999999999997,-0.0131
31.77,32.48,31.73,32.34,BAC,49675883,HISTORICAL_PRICES,BAC,,2021-01-21,1622765820000,0.0579420579420578,0.0579420579420578,32.34,31.77,32.48,31.73,49675883,32.0453,31.4805,32.184,31.4408,49675883,"Jan 21, 21",-0.5700000000000038,-0.0176
31.55,31.75,31.25,31.36,BAC,45314482,HISTORICAL_PRICES,BAC,,2021-01-22,1622765779000,0.0506160506160506,0.0506160506160506,31.36,31.55,31.75,31.25,45314482,31.0742,31.2625,31.4606,30.9652,45314482,"Jan 22, 21",-0.2199999999999988,-0.0069
31.16,31.3,30.57,31.27,BAC,48078412,HISTORICAL_PRICES,BAC,,2021-01-25,1622765812000,0.0376290376290376,0.0376290376290376,31.27,31.16,31.3,30.57,48078412,30.985,30.876,31.0147,30.2914,48078412,"Jan 25, 21",-0.3900000000000005,-0.0124
30.94,31.43,30.91,31.4,BAC,36373036,HISTORICAL_PRICES,BAC,,2021-01-26,1622765777000,0.0303030303030303,0.0303030303030303,31.4,30.94,31.43,30.91,36373036,31.1138,30.658,31.1436,30.6283,36373036,"Jan 26, 21",-0.2199999999999988,-0.0071
29.83,30.43,29.67,30.31,BAC,63809175,HISTORICAL_PRICES,BAC,,2021-01-27,1622765767000,-0.0066600066600067,-0.0066600066600067,30.31,29.83,30.43,29.67,63809175,30.0338,29.5581,30.1527,29.3996,63809175,"Jan 27, 21",-1.110000000000003,-0.0359
30.32,30.75,29.9174,30.42,BAC,51223276,HISTORICAL_PRICES,BAC,,2021-01-28,1622765820000,0.0096570096570096,0.0096570096570096,30.42,30.32,30.75,29.9174,51223276,30.1428,30.0437,30.4698,29.6447,51223276,"Jan 28, 21",0.490000000000002,0.0164
